freqtrade  | 2026-08-29 13:37:29,483 - freqtrade - INFO - freqtrade 2026.7
freqtrade  | 2026-08-29 13:37:29,847 - numexpr.utils - INFO - NumExpr defaulting to 4 threads.
freqtrade  | 2026-08-29 13:37:31,643 - freqtrade.worker - INFO - Starting worker 2026.7
freqtrade  | 2026-08-29 13:37:31,644 - freqtrade.configuration.load_config - INFO - Using config: /freqtrade/user_data/config.json ...
freqtrade  | 2026-08-29 13:37:31,644 - freqtrade.configuration.environment_vars - INFO - Loading variable 'FREQTRADE__API_SERVER__JWT_SECRET_KEY'
freqtrade  | 2026-08-29 13:37:31,644 - freqtrade.configuration.environment_vars - INFO - Key parts: ['API_SERVER', 'JWT_SECRET_KEY']
freqtrade  | 2026-08-29 13:37:31,647 - freqtrade.loggers - INFO - Enabling colorized output.
freqtrade  | 2026-08-29 13:37:31,647 - freqtrade.loggers - INFO - Logfile configured
freqtrade  | 2026-08-29 13:37:31,647 - freqtrade.loggers - INFO - Verbosity set to 0
freqtrade  | 2026-08-29 13:37:31,647 - freqtrade.configuration.configuration - INFO - Runmode set to dry_run.
freqtrade  | 2026-08-29 13:37:31,648 - freqtrade.configuration.configuration - INFO - Parameter --db-url detected ...
freqtrade  | 2026-08-29 13:37:31,648 - freqtrade.configuration.configuration - INFO - Dry run is enabled
freqtrade  | 2026-08-29 13:37:31,648 - freqtrade.configuration.configuration - INFO - Using DB: "sqlite:////freqtrade/user_data/tradesv3.sqlite"
freqtrade  | 2026-08-29 13:37:31,648 - freqtrade.configuration.configuration - INFO - Using max_open_trades: 12 ...
freqtrade  | 2026-08-29 13:37:31,662 - freqtrade.configuration.configuration - INFO - Using user-data directory: /freqtrade/user_data ...
freqtrade  | 2026-08-29 13:37:31,663 - freqtrade.configuration.configuration - INFO - Using data directory: /freqtrade/user_data/data/binance ...
freqtrade  | 2026-08-29 13:37:31,664 - freqtrade.exchange.check_exchange - INFO - Checking exchange...
freqtrade  | 2026-08-29 13:37:31,670 - freqtrade.exchange.check_exchange - INFO - Exchange "binance" is officially supported by the Freqtrade development team.
freqtrade  | 2026-08-29 13:37:31,671 - freqtrade.configuration.configuration - INFO - Using pairlist from configuration.
freqtrade  | 2026-08-29 13:37:31,671 - freqtrade.exchange.exchange - INFO - Instance is running with dry_run enabled
freqtrade  | 2026-08-29 13:37:31,671 - freqtrade.exchange.exchange - INFO - Using CCXT 4.5.68
freqtrade  | 2026-08-29 13:37:31,672 - freqtrade.exchange.exchange - INFO - Applying additional ccxt config: {'options': {'defaultType': 'swap'}, 'enableRateLimit': True, 'rateLimit': 200, 'timeout': 30000}
freqtrade  | 2026-08-29 13:37:31,677 - freqtrade.exchange.exchange - INFO - Applying additional ccxt config: {'options': {'defaultType': 'swap'}, 'enableRateLimit': True, 'rateLimit': 200, 'timeout': 30000}
